treat,age,educ,black,hisp,married,nodegree,re75,re78
0.00E+00,2.30E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
0.00E+00,2.60E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+04
0.00E+00,2.20E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
0.00E+00,3.40E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,4.37E+03,1.41E+04
0.00E+00,1.80E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.07E+04
0.00E+00,4.50E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.18E+04
0.00E+00,1.80E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,9.23E+03
0.00E+00,2.70E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,2.48E+03,3.55E+03
0.00E+00,2.40E+01,8.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.06E+04
0.00E+00,3.40E+01,1.10E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,6.04E+03
0.00E+00,2.00E+01,1.30E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,8.97E+03,9.20E+03
0.00E+00,2.40E+01,4.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,3.88E+03
0.00E+00,2.80E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.03E+02,1.65E+04
0.00E+00,2.10E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,9.23E+02,0.00E+00
0.00E+00,2.80E+01,1.20E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,2.90E+04,1.01E+04
0.00E+00,2.00E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+03,4.78E+03
0.00E+00,2.30E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,3.40E+03,0.00E+00
0.00E+00,2.10E+01,1.10E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,7.24E+03,8.98E+03
0.00E+00,3.60E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
0.00E+00,1.80E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.35E+02,2.50E+03
0.00E+00,2.10E+01,1.40E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.78E+03
0.00E+00,3.00E+01,1.30E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,5.57E+03,0.00E+00
0.00E+00,2.60E+01,1.10E+01,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.49E+03,0.00E+00
0.00E+00,2.80E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
0.00E+00,3.10E+01,4.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.07E+04,0.00E+00
0.00E+00,1.80E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,6.43E+02,1.44E+04
